dbo_Region.name,dbo_Locality.name,dbo_Institution.name,dbo_lu_InstitutionType.name,pînã la 5 km,mai mul de 5 km
r-l Dubãsari,S.OXENTEA,Oxentea,Gimnaziu,,
r-l Dubãsari,S.DOROTCAIA,Doroþcaia,Liceu,409,5
r-l Dubãsari,S.PIRITA,Pîrîta,Gimnaziu,,
r-l Dubãsari,S.USTIA,Ustia,Gimnaziu,,
r-l Dubãsari,S.HOLERCANI,Holercani,Liceu,,21
r-l Edineþ,Edineþ,"Liceul Teoretic ""V.Suhomlinski""",Liceu,,7
r-l Edineþ,Hincãuþi,Gimnaziul Hincãuþi,Gimnaziu,14,3
r-l Edineþ,Rotunda,Gimnaziul Rotunda,Gimnaziu,0,0
r-l Edineþ,Sofrincani,ªofrîncani,Gimnaziu,0,0
r-l Edineþ,Corpaci,Corpaci,Gimnaziu,0,0
r-l Edineþ,Terebna,Terebna,Gimnaziu,0,0
r-l Edineþ,Fîntîna Albã,Fîntîna Albã,Gimnaziu,1,0
r-l Edineþ,Brãtuºeni,"Liceul Teoretic ""Bratuseni""",Liceu,23,0
r-l Edineþ,Brînzeni,"Liceul Teoretic ""Vasile Stroiescu""",Liceu,0,26
r-l Edineþ,Edineþ,Scoala Medie nr1,Scoala Medie,6,10
r-l Edineþ,Gordineºti,Liceul Teoretic Gordineºti,Liceu,0,52
r-l Edineþ,Cupcini,"Liceul Teoretic ""Mihai Sadoveanu """,Liceu,16,12
r-l Edineþ,Zabriceni,Liceul Teoretic Zãbriceni,Liceu,43,10
r-l Edineþ,Ruseni,ªcoala Medie Ruseni,Scoala Medie,0,0
r-l Edineþ,Trinca,Liceul Teoretic Trinca,Liceu,13,0
r-l Edineþ,Feteºti,Liceul Teoretic Feteºti,Liceu,4,0
r-l Edineþ,Parcova,Gimnaziul Parcova,Gimnaziu,0,0
r-l Edineþ,Cuconestii Noi,Gimnaziul Cuconeºtii Noi,Gimnaziu,0,0
r-l Edineþ,Hancãuti,Hancãuþi,Gimnaziu,0,0
r-l Edineþ,Hlinaia,ªcoala Medie Hlinaia,Scoala Medie,0,0
r-l Edineþ,Cepeleuþi,Gimnaziul Cepeliuti,Gimnaziu,39,0
r-l Edineþ,Alexandreni,gimnaziul Vasile Rosca,Gimnaziu,2,0
r-l Edineþ,Bleºteni,Blesteni,Gimnaziu,0,0
r-l Edineþ,Bãdragii Noi,Gimnaziul Badragii Noi,Gimnaziu,0,0
r-l Edineþ,Oneºti,Onesti,Gimnaziu,0,0
r-l Edineþ,Brãtuºenii Noi,Gimnaziul Bratusenii Noi,Gimnaziu,0,0
r-l Edineþ,Bãdragii Vechi,Gimnaziul Bãdragii Vechi,Gimnaziu,0,0
r-l Edineþ,Cupcini,Gimnaziul Cupcini,Gimnaziu,0,0
r-l Edineþ,Edineþ,"Liceul Teoretic ""Dmitrie Cantemir""",Liceu,1,18
r-l Edineþ,Lopatnic,Gimnaziul Lopatnic,Gimnaziu,0,0
r-l Edineþ,Cupcini,"Liceul Teoretic ""Sofia Kovalevski""",Liceu,0,5
r-l Edineþ,Chiurt,Gimnaziul Chiurt,Gimnaziu,0,0
r-l Edineþ,Constantinovca,Gimnaziul Constantinovca,Gimnaziu,5,0
r-l Edineþ,Gaºpar,Gimnaziul Gaspar,Gimnaziu,0,0
r-l Edineþ,Stolniceni,Gimnaziul Stolniceni,Gimnaziu,0,0
r-l Edineþ,Viiºoara,Gimnaziul Viisoara,Gimnaziu,0,0
r-l Edineþ,Tîrnova,Gimnaziul Tîrnova,Gimnaziu,0,0
r-l Edineþ,Alexeevca,Gimnaziul Alexeevca,Gimnaziu,0,0
r-l Edineþ,Edineþ,"Liceul Teoretic ""Mihai Eminescu""",Liceu,4,7
r-l Edineþ,Edineþ,"Liceul Teoretic ""Pan Halippa""",Liceu,0,0
r-l Edineþ,Goleni,Goleni,Gimnaziu,0,2
r-l Edineþ,Chetroºica Nouã,Gimnaziul Chetrosica Noua,Gimnaziu,0,0
r-l Fãleºti,Fãleºti,"Liceul  Teoretic  ""A. Puºkin""",Liceu,0,20
r-l Fãleºti,Catranîc,Gimnaziul  Gara Catranic,Gimnaziu,11,
r-l Fãleºti,Fãleºti,"Liceul Teoretic""Mihai  Eminescu""",Liceu,32,83
r-l Fãleºti,Cãlugãr,Gimnaziul   Cãlugãr,Gimnaziu,91,
r-l Fãleºti,Bocani,Gimnaziul Bocani,Gimnaziu,,
r-l Fãleºti,Doltu,Gimnaziul Doltu,Gimnaziu,2,
r-l Fãleºti,Fãleºti,Gimnaziul  Nr.4 Fãleºti,Gimnaziu,,
r-l Fãleºti,Ciolacu Vechi,Gimnaziul Ciolacu Vechi,Gimnaziu,,
r-l Fãleºti,Hiliuþi,Gimnaziul  Hiliuþi,Gimnaziu,11,0
r-l Fãleºti,Obreja Nouã,Gimnaziul Obreja Noua,Gimnaziu,,
r-l Fãleºti,Fãleºti,"Liceul Teoretic "" Ion Creangã """,Liceu,,
r-l Fãleºti,Fãgãdãu,Gimnaziul  Fãgãdãu,Gimnaziu,,
r-l Fãleºti,Valea Rusului,Gimnaziul Valea Rusului,Gimnaziu,5,1
r-l Fãleºti,Pompa,Gimnaziul Pompa,Gimnaziu,20,0
r-l Fãleºti,Logofteni,Gimnaziul Logofteni,Gimnaziu,,
r-l Fãleºti,Taxobeni,Gimnaziul Taxobeni,Gimnaziu,,
r-l Fãleºti,Pînzãreni,"Gimnaziul  Pînzãreni ""Nicolaie Dabija""",Gimnaziu,0,0
r-l Fãleºti,Suvorovca,Gimnaziul  Suvorovca,Gimnaziu,0,0
r-l Fãleºti,Iºcãlãu,Gimnaziul  Iºcalãu,Gimnaziu,2,0
r-l Fãleºti,Fãleºti,Gimnaziul  Internat orfani,Gimnaziu,0,
r-l Fãleºti,Burghelea,Gimnaziul Burghelea,Gimnaziu,,
r-l Fãleºti,Nãvîrneþ,"Liceul Teoretic ""ªtefan cel Mare ºi Sfînt""",Liceu,0,0
r-l Fãleºti,Fãleºti,Gimnaziu Fabr.Zah. nr.3,Gimnaziu,0,0
r-l Fãleºti,Obreja Veche,ªcoala Medie Obreja Veche,Scoala Medie,0,0
r-l Fãleºti,Horeºti,ªcoala Medie Horeºti,Scoala Medie,0,24
r-l Fãleºti,Fãleºtii Noi,Gimnaziu Fãleºtii Noi,Gimnaziu,9,
r-l Fãleºti,Izvoare,ªcoala Medie Izvoare,Scoala Medie,0,0
r-l Fãleºti,Egorovca,Gimnaziu Egorovca,Gimnaziu,,
r-l Fãleºti,Pruteni,Gimnaziul Pruteni,Gimnaziu,44,22
r-l Fãleºti,Hînceºti,Gimnaziul Hînceºti,Gimnaziu,3,0
r-l Fãleºti,Albineþul Vechi,Liceul Teoretic  Albineþul Vechi,Liceu,55,15
r-l Fãleºti,Chetriº,Gimnaziul  Chetriº,Gimnaziu,,
r-l Fãleºti,Cãlineºti,Liceul Teoretic Cãlineºti,Liceu,0,0
r-l Fãleºti,Glinjeni,"Liceul Teoretic ""Mihai Corlãteanu"" Glingeni",Liceu,0,0
r-l Fãleºti,Pîrliþa,"Liceul Teoretic ""D.Cantemir""",Liceu,0,0
r-l Fãleºti,Hitreºti,Gimnaziul Hitreºti,Gimnaziu,0,0
r-l Fãleºti,Sarata Noua,Gimnaziul Sarata Nouã,Gimnaziu,0,0
r-l Fãleºti,Ilenuþa,Gimnaziul Ilenuþa,Gimnaziu,,
r-l Fãleºti,Pietrosu,Gimnaziul  Pietrosu,Gimnaziu,16,0
r-l Fãleºti,Sãrata Veche,"Liceul Teoretic ""Grighore Vieru"" Sarata Veche",Liceu,1,0
r-l Fãleºti,Ciolacu Nou,gimnaziu Ciolacu Nou,Gimnaziu,,
r-l Fãleºti,Moldoveanca,Gimnaziul Moldoveanca,Gimnaziu,,
r-l Fãleºti,Scumpia,"Liceul Teoretic ""V.Alecsandri"" Scumpia",Liceu,56,
r-l Fãleºti,Risipeni,"Liceul Teoretic ""D.Gherman"" Risipeni",Liceu,0,0
r-l Fãleºti,Catranîc,"Liceul Teoretic ""E.Coºeriu"" Catranîc",Liceu,71,20
r-l Fãleºti,Rãuþel,"Liceul Teoretic ""A.Mateevici""",Liceu,,
r-l Fãleºti,Marandeni,Liceul Teoretic Marandeni,Liceu,,
r-l Fãleºti,Popovca,Gimnaziu Popovca,Gimnaziu,0,0
r-l Fãleºti,Musteata,Gimnaziu Musteaþa,Gimnaziu,2,0
r-l Floreºti,Iliciovca,ª. M. Iliciovca,Scoala Medie,0,0
r-l Floreºti,or.Floreºti,"Liceul Teoretic  ""Ion Creangã""",Liceu,58,93
r-l Floreºti,Gvozdova,Gimnaziul Gvozdova,Gimnaziu,0,0
r-l Floreºti,Domulgeni,Gimnaziul Domulgeni,Gimnaziu,0,0
r-l Floreºti,Coºerniþa,Gimnaziul Coºerniþa,Gimnaziu,0,0
r-l Floreºti,Dumitreni,Gimnaziul Dumitreni,Gimnaziu,0,0
r-l Floreºti,Nicolaevca,Gimnaziul Nicolaevca,Gimnaziu,84,13
r-l Floreºti,Gura Cãinarului,Gimnaziul Gura Cãinarului,Gimnaziu,0,0
r-l Floreºti,Sãnãtãuca,"Liceul  Teoretic ""Alexei Mateevici""",Liceu,34,19
r-l Floreºti,Ghindeºti,"Liceul  Teoretic ""Mihai  Eminescu""",Liceu,50,5
r-l Floreºti,Alexeevca,Gimnaziul Alexeevca,Gimnaziu,8,1
r-l Floreºti,Tîrgul-Vertiujeni,ª. M- Tîrgul Vertiujeni,Scoala Medie,16,0
r-l Floreºti,Caºunca,Gimnaziul Caºunca,Gimnaziu,0,0
r-l Floreºti,Cerniþa,Gimnaziul Cerniþa,Gimnaziu,0,0
r-l Floreºti,Cuhureºtii de Sus,Liceul  Teoretic Cuhureºtii de Sus,Liceu,119,32
r-l Floreºti,S.GURA CAMENCII,Gimnaziul  Gura Camencii,Gimnaziu,0,0
r-l Floreºti,Ciripcãu,Gimnaziul Ciripcãu,Gimnaziu,0,0
r-l Floreºti,Ciutuleºti,ªcoala Medie Ciutuleºti,Scoala Medie,0,0
r-l Floreºti,Cenuºa,Gimnaziul Cenuºa,Gimnaziu,0,0
r-l Floreºti,or.Floreºti,"Liceul Teoretic ""Miron Costin""",Liceu,64,57
r-l Floreºti,Cunicea,Liceul  Teoretic Cunicea,Liceu,0,0
r-l Floreºti,Bahrineºti,ªcoala Medie Bahrîneºti,Scoala Medie,0,0
r-l Floreºti,Frumuºica,Liceul  Teoretic Frumuºica,Liceu,92,0
r-l Floreºti,or.Floreºti,ªcoala primarã Floreºti,Scoala Primara,0,0
r-l Floreºti,or.Floreºti,"Liceul  Teoretic  ""Anton Cehov""",Liceu,6,23
r-l Floreºti,Nãpadova,Gimnaziul-grãdiniþã Napadova,Gimnaziu,0,0
r-l Floreºti,Vãrvãreuca,ª. M. Vãrvãreuca,Scoala Medie,0,0
r-l Floreºti,Ion-Voda,Gimnaziul Ion Vodã,Gimnaziu,0,0
r-l Floreºti,Cuhureºtii de Jos,ª. M. Cuhureºtii de Jos,Scoala Medie,0,0
r-l Floreºti,Lunga,Gimnayiul Lunga,Gimnaziu,0,0
r-l Floreºti,Sevirova,Gimnaziul Sevirova,Gimnaziu,4,0
r-l Floreºti,Sîrbeºti,Gimnaziul Serbeºti,Gimnaziu,0,0
r-l Floreºti,Trifãneºti,Gimnaziul Trifãneºti,Gimnaziu,1,0
r-l Floreºti,Temeleuþi,Gimnaziul Temeleuþi,Gimnaziu,0,0
r-l Floreºti,Japca,ª. M. Japca,Scoala Medie,16,0
r-l Floreºti,or.Floreºti,"Liceul Teoretic ""Mihai  Eminescu""",Liceu,57,71
r-l Floreºti,Vertiujeni,Gimnaziul Vertiujeni,Gimnaziu,0,0
r-l Floreºti,or.Mãrculeºti,"Liceul  Teoretic ""Vasile Alecsandri""",Liceu,312,42
r-l Floreºti,Hîrtop,Gimnaziul Hîrtop,Gimnaziu,0,0
r-l Floreºti,Zãluceni,Gimnaziul Zãluceni,Gimnaziu,0,0
r-l Floreºti,Bursuc,ªcoala primarã Bursuc,Scoala Primara,0,0
r-l Floreºti,Stefãneºti,Liceul Teoretic ªtefãneºti,Liceu,59,0
r-l Floreºti,Rãdulenii Vechi,ª. M. Rãdulenii Vechi,Scoala Medie,0,0
r-l Floreºti,Rosietici,ª. M. Roºietici,Scoala Medie,0,0
r-l Floreºti,Prajila,ª. M. Prajila,Scoala Medie,0,32
r-l Floreºti,Prodãneºti,Gimnaziul  Prodãneºti,Gimnaziu,177,0
r-l Floreºti,Putineºti,Gimnaziul  Putineºti,Gimnaziu,0,0
r-l Floreºti,Nãpadova,Gimnaziul Internat Napadova,Gimnaziu,0,0
r-l Floreºti,Vãscãuþi,Gimnaziul Internat Vãscãuþi,Gimnaziu,0,0
r-l Floreºti,Ivanovca,Gimnaziul Ivanovca,Gimnaziu,0,0
r-l Floreºti,Izvoare,Gimnaziul Izvoare,Gimnaziu,0,0
r-l Floreºti,Bobuleºti,ªcoala primarã Bobuleºti,Scoala Primara,0,0
r-l Floreºti,Vãscãuþi,Gimnaziul Vãscãuþi,Gimnaziu,14,0
r-l Glodeni,Ciuciulea,Liceul Teoretic Ciuciulea,Liceu,0,0
r-l Glodeni,Iabloana,Gimnaziu Iabloana rus,Gimnaziu,0,0
r-l Glodeni,Glodeni,"Liceul Teoretic ""Dmitrie Cantemir""",Liceu,3,
r-l Glodeni,Sturzovca,Gimnaziu Sturzovca,Gimnaziu,0,0
r-l Glodeni,Glodeni,Liceul Teoretic V. Coroban Glodeni,Liceu,7,0
r-l Glodeni,Glodeni,"Liceul Teoretic ""Lev Tolstoi"" Glodeni",Liceu,22,0
r-l Glodeni,Balatina,Liceul Teoretic Balatina,Liceu,22,0
r-l Glodeni,S.CUHNESTI,Liceul Teoretic Cuhneºti,Liceu,25,4
r-l Glodeni,Cobani,Liceul Teoretic Cobani,Liceu,13,0
r-l Glodeni,Petrunea,Liceul Teoretic Petrunea,Liceu,2,0
r-l Glodeni,Fundurii Vechi,Liceul Teoretic Fundurii Vechi,Liceu,0,0
r-l Glodeni,Danu,Liceul Teoretic Danu,Liceu,44,
r-l Glodeni,Hîjdieni,Liceul Teoretic Hîjdieni,Liceu,,
r-l Glodeni,Limbenii Vechi,Liceul Teoretic Limbenii Vechi,Liceu,30,0
r-l Glodeni,Sturzovca,Liceul Teoretic Sturzovca,Liceu,0,0
r-l Glodeni,Tomeºtii Noi,Gimnaziu Tomeºti,Gimnaziu,0,0
r-l Glodeni,Iabloana,Gimnaziu Iabloana,Gimnaziu,0,0
r-l Glodeni,Viiºoara,Gimnaziu Viiºoara,Gimnaziu,48,0
r-l Glodeni,Glodeni,ªcoala primarã Glodeni,Scoala Primara,9,
r-l Glodeni,Moara Domneascã,ªcoala primarã gr. Moara Doneascã,Scoala Primara,0,0
r-l Glodeni,Duºmani,Gimnaziu Duºmani,Gimnaziu,0,0
r-l Glodeni,Limbenii Noi,Gimnaziu Limbenii Noi,Gimnaziu,0,0
r-l Glodeni,Clococenii Vechi,Gimnaziu Clococenii Vechi,Gimnaziu,0,0
r-l Glodeni,Cajba,Gimnaziu Cajba,Gimnaziu,0,0
r-l Glodeni,Camenca,Gimnaziu Vasile Coroban Camenca,Gimnaziu,,
r-l Glodeni,Buteºti,Gimnaziu Buteºti,Gimnaziu,13,0
r-l Glodeni,Ustia,Gimnaziu Ustia,Gimnaziu,0,0
r-l Glodeni,Fundurii Noi,Gimnaziu Fundurii Noi,Gimnaziu,0,0
r-l Hãnceºti,Oneºti,Gimnaziul Oneºti,Gimnaziu,5,0
r-l Hãnceºti,Cioara,"Liceul Teoretic ""S.Andreev""",Liceu,40,0
r-l Hãnceºti,Bobeica,Liceul Teoretic Bobeica,Liceu,123,31
r-l Hãnceºti,Hînceºti,"Liceul Teoretic ""M. Sadoveanu""",Liceu,66,22
r-l Hãnceºti,Cãrpineni,Gimnaziul Internat Cãrpineni,Gimnaziu,0,0
r-l Hãnceºti,Draguºenii Noi,Gimnaziul Drãguºenii-Noi,Gimnaziu,13,0
r-l Hãnceºti,Fîrlãdeni,Gimnaziul Fîrlãdeni,Gimnaziu,0,0
r-l Hãnceºti,Ivanovca,Gimnaziul „Ksenia Evteeva”,Gimnaziu,0,0
r-l Hãnceºti,Mireºti,Gimnaziul Mireºti,Gimnaziu,50,0
r-l Hãnceºti,Negrea,Gimnaziul Negrea,Gimnaziu,0,0
r-l Hãnceºti,Obileni,Gimnaziul Obileni,Gimnaziu,113,0
r-l Hãnceºti,Pogãneºti,Gimnaziul Pogãneºti,Gimnaziu,0,0
r-l Hãnceºti,ªipoteni,Gimnaziul ªipoteni,Gimnaziu,0,0
r-l Hãnceºti,Caracui,Gimnaziul Caracui,Gimnaziu,0,0
r-l Hãnceºti,Sãrata Galbena,ªcoala-internat auxiliarã Sãrata-Galbenã,Gimnaziu,3,7
r-l Hãnceºti,Sãrata-Mereºeni,Gimnaziul Sãrata-Mereºeni,Gimnaziu,0,0
r-l Hãnceºti,Tãlãieºti,Gimnaziul Tãlãieºti,Gimnaziu,0,0
r-l Hãnceºti,Sãrata Galbena,"Liceul Teoretic ""Universum""",Liceu,0,128
r-l Hãnceºti,Voinescu,Gimnaziul Voinescu,Gimnaziu,0,0
r-l Hãnceºti,Dancu,Gimnaziul Dancu,Gimnaziu,0,0
r-l Hãnceºti,Horjeºti,Gimnaziul Horjeºti,Gimnaziu,0,0
r-l Hãnceºti,Pereni,Gimnaziul Pereni,Gimnaziu,0,0
r-l Hãnceºti,Hînceºti,"Liceul Teoretic ""M. Eminescu""",Liceu,0,0
r-l Hãnceºti,Secãreni,Gimnaziul Secãreni,Gimnaziu,127,0
r-l Hãnceºti,Paºcani,Gimnaziul Paºcani,Gimnaziu,2,0
r-l Hãnceºti,Mingir,ªcoala Primarã Mingir,Scoala Primara,32,0
r-l Hãnceºti,Hînceºti,"Liceul Teoretic ""M. Viteazul""",Liceu,0,0
r-l Hãnceºti,Cãlmãþui,Gimnaziul Cãlmãþui,Gimnaziu,5,0
r-l Hãnceºti,Cãrpineni,Gimnaziul Cãrpineni Nr.2,Gimnaziu,0,0
r-l Hãnceºti,Bozieni,Gimnaziul Bozieni,Gimnaziu,30,0
r-l Hãnceºti,Cãrpineni,Gimnaziul Cãrpineni Nr.3,Gimnaziu,0,0
r-l Hãnceºti,Sofia,Gimnaziul Sofia,Gimnaziu,0,0
r-l Hãnceºti,Hînceºti,ªcoala Internat Hînceºti,Gimnaziu,0,0
r-l Hãnceºti,Stolniceni,Gimnaziul Stolniceni,Scoala Medie,2,0
r-l Hãnceºti,Lãpuºna,ªcoala Primarã Lãpuºna,Scoala Primara,18,0
r-l Hãnceºti,Buteni,ªcoala Medie Buþeni,Scoala Medie,0,0
r-l Hãnceºti,Logãneºti,Liceul Teoretic Logãneºti,Liceu,0,0
r-l Hãnceºti,Mingir,Liceul Teoretic Mingir,Liceu,112,0
r-l Hãnceºti,Hînceºti,"Liceul Teoretic ""M. Lomonosov""",Liceu,0,4
r-l Hãnceºti,Bãlceana,Gimnaziul Bãlceana,Gimnaziu,0,0
r-l Hãnceºti,Lãpuºna,Liceul Teoretic Lãpuºna,Liceu,16,42
r-l Hãnceºti,Boghiceni,Gimnaziul Boghiceni,Scoala Medie,0,0
r-l Hãnceºti,Bujor,ªcoala Medie Bujor,Scoala Medie,0,0
r-l Hãnceºti,Crasnoarmeiscoe,"Liceul Teoretic ""Dimitrie Cantemir""",Liceu,60,2
r-l Hãnceºti,Cãrpineni,"Liceul Teoretic ""ªtefan Holban""",Liceu,0,0
r-l Hãnceºti,Ciuciuleni,"Liceul Teoretic ""A.Donici""",Liceu,0,0
r-l Hãnceºti,Leuºeni,"Liceul Teoretic “Cezar Radu""",Liceu,12,13
r-l Hãnceºti,Fundul Galbenei,Gimnaziul Fundul-Galbenei,Scoala Medie,0,0
r-l Hãnceºti,Pervomaiscoe,Gimnaziul Pervomaiscoe,Gimnaziu,0,0
r-l Ialoveni,Ulmu,Liceul teoretic Mihai Eminescu Ulmu,Liceu,0,1
r-l Ialoveni,Suruceni,"Liceul Teoretic ""Ion Suruceanu"" Suruceni",Liceu,98,12
r-l Ialoveni,Ialoveni,"Liceul Teoretic ""Petre ?tefãnucã"" Ialoveni",Liceu,27,8
r-l Ialoveni,Vãsieni,Liceul Teoretic Dmitrii Cantemir Vãsieni,Liceu,0,15
r-l Ialoveni,Gangura,Gimnaziul Gangura,Gimnaziu,0,
r-l Ialoveni,Rãzeni,Liceul Teoretic Rãzeni,Liceu,0,0
r-l Ialoveni,Pojãreni,Gimnaziul Pojoreni,Gimnaziu,0,0
r-l Ialoveni,Puhoi,Liceul Teoretic Puhoi,Liceu,12,5
r-l Ialoveni,Horeºti,Liceul Teoretic Zîmbreni,Liceu,,
r-l Ialoveni,Dãnceni,Gimnaziul Dãnceni,Gimnaziu,,
r-l Ialoveni,Malcoci,Gimnaziul Malcoci,Gimnaziu,0,4
r-l Ialoveni,Cigirleni,ªcoala Medie Cigîrleni,Scoala Medie,0,0
r-l Ialoveni,Cãrbuna,ªcoala Medie Cãrbuna,Scoala Medie,0,0
r-l Ialoveni,Ialoveni,Liceul teoretic Ana Muntean Ialoveni,Liceu,24,
r-l Ialoveni,Horodca,Gimnaziul Horodca,Gimnaziu,,3
r-l Ialoveni,Vãsieni,Gimnaziul Vãsieni,Gimnaziu,,
r-l Ialoveni,Sociteni,Gimnaziul Sociteni,Gimnaziu,,
r-l Ialoveni,Ruseºtii Noi,Liceul Teoretic Ruseºtii Noi,Liceu,42,0
r-l Ialoveni,Þipala,Liceul Teoretic Þipala,Liceu,70,
r-l Ialoveni,Vãratic,Gimnaziul Vãratic,Gimnaziu,,
r-l Ialoveni,Costeºti,Gimnaziul Costeºti,Gimnaziu,0,0
r-l Ialoveni,Mileºtii Noi,Cimnaziul Mileºtii Noi,Gimnaziu,0,0
r-l Ialoveni,Ialoveni,Gimnaziul Ialoveni,Gimnaziu,0,4
r-l Ialoveni,Piatra Albã,ªcoala Primarã Piatra Albã,Scoala Primara,,
r-l Ialoveni,Hansca,Gimnaziul Hansca,Gimnaziu,0,0
r-l Ialoveni,Costeºti,Liceul Teoretic Costeºti,Liceu,,
r-l Ialoveni,Bardar,"Liceul Teoretic ""Aurel David"" Bardar",Liceu,5,0
r-l Ialoveni,Horeºti,Liceul Teoretic Horeºti,Liceu,4,0
r-l Ialoveni,Nimoreni,Gimnaziul Nimoreni,Gimnaziu,0,0
r-l Ialoveni,Ialoveni,"ªcoala Primarã ""Ion Creangã"" Ialoveni",Scoala Primara,2,
r-l Ialoveni,Mileºtii Mici,"Liceul Teoretic ""Mihai Bîrcã"" Mileºtii Mici",Liceu,0,0
r-l Ialoveni,Ruseºtii Vechi,ªcoala Primarã Ruseºtii Vechi,Scoala Primara,5,0
r-l Ialoveni,Moleºti,Liceul Teoretic Moleºti,Liceu,0,0
r-l Ialoveni,Costeºti,"Liceul Teoretic ""Olymp"" Costeºti",Liceu,,
r-l Leova,Sãrãþica Veche,gimnaziul Saratica Veche,Gimnaziu,10,0
r-l Leova,Leova,"""L.Tolstoi""",Liceu,0,22
r-l Leova,Tomaiul Nou,gimnaziul Tomaiul Nou,Gimnaziu,0,0
r-l Leova,Covurlui,gimnaziul Covurlui,Gimnaziu,0,0
r-l Leova,Beºtemac,"""Gimnaziul Beºtemac""",Gimnaziu,4,0
r-l Leova,Colibabovca,scoala medie Colibabovca,Scoala Medie,1,0
r-l Leova,Tigheci,ªcoala medie Tigheci,Scoala Medie,0,0
r-l Leova,Iargara,ªcoala medie Iargara,Scoala Medie,1,0
r-l Leova,Orac,Gimnaziul  Orac,Gimnaziu,0,0
r-l Leova,Leova,"""Mihai Eminescu""",Liceu,0,0
r-l Leova,Cazangic,"""Mihai Viteazul""",Gimnaziu,35,33
r-l Leova,Sãrãteni,gimnaziul Sarateni,Gimnaziu,1,28
r-l Leova,Romanovca,scoala primara Romanovca,Scoala Primara,0,0
r-l Leova,Leova,gimnaziul-internat Leova,Gimnaziu,0,0
r-l Leova,Ceadîr,gimnaziul Ceadir,Gimnaziu,10,0
r-l Leova,Vozneseni,gimnaziul Vozneseni,Gimnaziu,0,0
r-l Leova,Sãrata Nouã,Scoala Auxiliarã-Internat,Scoala Medie,0,0
r-l Leova,Borogani,Gimnaziul Borogani,Gimnaziu,0,2
r-l Leova,Hãnãºenii Noi,gimnaziul Hanasenii Noi,Gimnaziu,0,0
r-l Leova,Cneazevca,scoala medie Cneazevca,Scoala Medie,2,26
r-l Leova,Troiþa,gimnaziul Troita,Gimnaziu,25,0
r-l Leova,Sîrma,gimnaziul Sirma,Gimnaziu,0,0
r-l Leova,Iargara,""" Lucian Blaga """,Liceu,45,1
r-l Leova,Filipeni,scoala medie Filipeni,Scoala Medie,28,0
r-l Leova,Sãrata Nouã,scoala medie Sarata Noua,Scoala Medie,13,3
r-l Leova,Tochile-Rãducani,Gimnaziu Tochile-Raducani,Gimnaziu,0,0
